Module,KW.statistic,KW.parameter,KW.pval,KW.padj,DT.Contrast,DT.diff,DT.lwr.ci,DT.upr.ci,DT.pval,Sig,PVE
M44,13.2556818181818,4,0.0100917595151203,0.716514925573539,KO.Shank2.Cortex-WT.Cortex,-0.0303932546943618,-0.234656230820288,0.173869721431564,0.98974003306144,FALSE,0.648816738283289
M44,13.2556818181818,4,0.0100917595151203,0.716514925573539,KO.Shank3.Cortex-WT.Cortex,0.32117608225506,0.116913106129134,0.525439058380987,0.00116068707819017,FALSE,0.648816738283289
M44,13.2556818181818,4,0.0100917595151203,0.716514925573539,HET.Syngap1.Cortex-WT.Cortex,-0.144337856532473,-0.3486008326584,0.059925119593453,0.242883273769913,FALSE,0.648816738283289
M44,13.2556818181818,4,0.0100917595151203,0.716514925573539,KO.Ube3a.Cortex-WT.Cortex,0.0205797440249787,-0.183683232100948,0.224842720150905,0.997691253160477,FALSE,0.648816738283289
M45,8.92613636363636,4,0.0629724712843537,1,KO.Shank2.Cortex-WT.Cortex,0.00936458493176121,-0.231110389681144,0.249839559544667,0.999945785830887,FALSE,0.670714354437652
M45,8.92613636363636,4,0.0629724712843537,1,KO.Shank3.Cortex-WT.Cortex,0.278862816814601,0.0383878422016957,0.519337791427507,0.0184760095120277,FALSE,0.670714354437652
M45,8.92613636363636,4,0.0629724712843537,1,HET.Syngap1.Cortex-WT.Cortex,-0.0340626609405339,-0.274537635553439,0.206412313672372,0.991469375570652,FALSE,0.670714354437652
M45,8.92613636363636,4,0.0629724712843537,1,KO.Ube3a.Cortex-WT.Cortex,-0.0181808087818102,-0.258655783394716,0.222294165831095,0.999248871834028,FALSE,0.670714354437652
M46,7.94673295454545,4,0.0935490382553364,1,KO.Shank2.Cortex-WT.Cortex,-0.171685693858048,-0.420998374093136,0.0776269863770404,0.263949256782272,FALSE,0.861683744190178
M46,7.94673295454545,4,0.0935490382553364,1,KO.Shank3.Cortex-WT.Cortex,0.159095723794166,-0.0902169564409215,0.408408404029255,0.330110949359008,FALSE,0.861683744190178
M46,7.94673295454545,4,0.0935490382553364,1,HET.Syngap1.Cortex-WT.Cortex,-0.0702917136874992,-0.319604393922587,0.179020966547589,0.902862712560385,FALSE,0.861683744190178
M46,7.94673295454545,4,0.0935490382553364,1,KO.Ube3a.Cortex-WT.Cortex,0.00786360887222349,-0.241449071362865,0.257176289107312,0.999976609706678,FALSE,0.861683744190178
M47,5.97159090909091,4,0.201279950772749,1,KO.Shank2.Cortex-WT.Cortex,-0.0393728800099144,-0.303737205818917,0.224991445799088,0.989703940497644,FALSE,0.819070334119371
